t,S,I
20.647045131885307,49438,737
20.64913305682953,49437,738
20.64952411202058,49436,739
20.652507390283333,49435,740
20.653573016048306,49434,741
20.655962073102593,49433,742
20.659551373975045,49432,743
20.66163203489047,49431,744
20.661803552807932,49430,745
20.66794658886752,49429,746
20.66818209942195,49428,747
20.668688070592836,49427,748
20.67192758423373,49426,749
20.673627715975137,49425,750
20.674554284465064,49424,751
20.675052299100322,49423,752
20.675591020799544,49422,753
20.676359463698834,49421,754
20.678810320981583,49420,755
20.679809642637302,49419,756
20.681910319462787,49418,757
20.682262172821435,49417,758
20.688099104261564,49416,759
20.690593325816902,49415,760
20.691132898612555,49414,761
20.691874156218105,49413,762
20.692437737851993,49412,763
20.693409201901773,49411,764
20.693696023978013,49410,765
20.694205604184962,49409,766
20.695942306114347,49408,767
20.69982183647567,49407,768
20.702064246279143,49406,769
20.704539345470824,49405,770
20.706057230902253,49404,771
20.706803780343417,49403,772
20.707077003415044,49402,773
20.707320325261122,49401,774
20.70737554433149,49400,775
20.71097956726713,49399,776
20.7112959516737,49398,777
20.712501902790578,49397,778
20.716984463244998,49396,779
20.72015647567776,49395,780
20.722250904145298,49394,781
20.724040021673144,49393,782
20.72566375164408,49392,783
20.72599128405219,49391,784
20.726401470313128,49390,785
20.73095629492237,49389,786
20.732094406789507,49388,787
20.732582008789986,49387,788
20.7326065523684,49386,789
20.733018187178065,49385,790
20.73647121760601,49384,791
20.737000019038465,49383,792
20.738536217518885,49382,793
20.741500210088585,49381,794
20.74369952241808,49380,795
20.744444374434302,49379,796
20.74712918600815,49378,797
20.75146904991219,49377,798
20.754716215332728,49376,799
20.75572822746281,49375,800
20.756622242819315,49374,801
20.758336459084585,49373,802
20.764228966476523,49372,803
20.76450417392172,49371,804
20.765722117256544,49370,805
20.7673253487032,49369,806
20.767445344332717,49368,807
20.774023096332375,49367,808
20.774027162687748,49366,809
20.77490681731286,49365,810
20.77573183192631,49364,811
20.779223605420245,49363,812
20.779553715658032,49362,813
20.780658361194217,49361,814
20.782937469059608,49360,815
20.783711422518458,49359,816
20.78373095327482,49358,817
20.783931225936723,49357,818
20.784421569640095,49356,819
20.78477251101184,49355,820
20.78744990940771,49354,821
20.789664132574277,49353,822
20.792844905238532,49352,823
20.796158231328775,49351,824
20.796597787374637,49350,825
20.796786228590157,49349,826
20.802332670991653,49348,827
20.802827881406166,49347,828
20.806991368270666,49346,829
20.80737218194548,49345,830
20.807858246651957,49344,831
20.809077648082692,49343,832
20.810173744180915,49342,833
20.810460798051825,49341,834
20.811745793129536,49340,835
20.819776503010868,49339,836
20.820546357132866,49338,837
