t,S,I,R
0.0,55748,1,0
0.6800740722861615,55747,2,0
1.8145165448792406,55746,3,0
1.9561840236464454,55746,2,1
1.9845750567177456,55745,3,1
2.3847745557068776,55744,4,1
2.432314691881804,55744,3,2
2.468018681933146,55743,4,2
2.601580759715356,55742,5,2
2.6779496604775295,55742,4,3
2.751459416511137,55741,5,3
2.9117941848914435,55740,6,3
2.9810074172707144,55739,7,3
3.3758465574196204,55739,6,4
3.815327127590024,55739,5,5
3.9406225067870313,55738,6,5
4.101614311033957,55737,7,5
4.118770996566997,55737,6,6
4.160540340914324,55737,5,7
4.178423600418364,55736,6,7
4.222168601711241,55736,5,8
4.482989817015941,55736,4,9
4.600923618278303,55735,5,9
4.711541607018175,55735,4,10
5.138605708917316,55735,3,11
5.141203003636599,55734,4,11
5.176777112847377,55733,5,11
5.197323327651666,55732,6,11
5.199604721579124,55731,7,11
5.21491900008489,55730,8,11
5.22300258731703,55729,9,11
5.239296277235056,55728,10,11
5.239751935399517,55727,11,11
5.248991933754782,55726,12,11
5.252068207338257,55725,13,11
5.256031988140036,55724,14,11
5.257298205690496,55723,15,11
5.2575208811819225,55722,16,11
5.269565995859207,55721,17,11
5.270829050094492,55720,18,11
5.274714311383775,55719,19,11
5.27493191160452,55718,20,11
5.277335314213907,55717,21,11
5.28590598882315,55716,22,11
5.290639045421643,55715,23,11
5.29102617231004,55714,24,11
5.2914396725265345,55713,25,11
5.291828678711548,55712,26,11
5.293087066833093,55711,27,11
5.293820516741419,55710,28,11
5.295923056606675,55709,29,11
5.29602619983401,55708,30,11
5.296217384340965,55707,31,11
5.296457680667439,55706,32,11
5.300873760188566,55705,33,11
5.301809806506318,55704,34,11
5.3098150231723675,55703,35,11
5.3103394730881,55702,36,11
5.3111568125814514,55701,37,11
5.311920256146405,55700,38,11
5.313897053728269,55699,39,11
5.31478307026614,55698,40,11
5.316055503275492,55697,41,11
5.317379556175668,55696,42,11
5.319402025601998,55695,43,11
5.319952743313842,55694,44,11
5.320753733208073,55693,45,11
5.321383643645531,55692,46,11
5.32153323370392,55691,47,11
5.3219330543604455,55690,48,11
5.322286729420584,55689,49,11
5.3234511377966385,55688,50,11
5.323504712179968,55687,51,11
5.324894472243367,55686,52,11
5.324934455896032,55685,53,11
5.32504278037495,55684,54,11
5.325448508531434,55683,55,11
5.325572180216706,55682,56,11
5.327450623833461,55681,57,11
5.327606086467,55680,58,11
5.328393171946091,55679,59,11
5.32840080013624,55678,60,11
5.3294529533126695,55677,61,11
5.330271930267285,55676,62,11
5.330806799493793,55675,63,11
5.332375519600206,55674,64,11
5.333035981060242,55673,65,11
5.334546259403544,55672,66,11
5.33552308647097,55672,65,12
5.33625704151582,55671,66,12
5.336299882464367,55670,67,12
5.3372253251149475,55669,68,12
5.3374193794555085,55668,69,12
5.337513417658507,55667,70,12
5.337719096393399,55666,71,12
5.3384371784535745,55665,72,12
5.339200320630309,55664,73,12
5.339499411658072,55663,74,12
5.3399378681763485,55662,75,12
5.3409110891297935,55661,76,12
5.340917593608282,55660,77,12
5.341289463571764,55659,78,12
5.341908552511635,55658,79,12
5.342744200064537,55657,80,12
5.344262782719697,55656,81,12
5.344311184728452,55655,82,12
5.344416684078513,55654,83,12
5.345825544141018,55653,84,12
5.349255534052071,55652,85,12
5.351900387577185,55651,86,12
5.352529989637853,55650,87,12
5.353033414517587,55649,88,12
5.353265761472384,55648,89,12
5.353425637092433,55647,90,12
5.353465246825069,55646,91,12
5.3534895188760405,55645,92,12
5.353752298587837,55644,93,12
5.354734995020204,55643,94,12
5.355519104315856,55642,95,12
5.355629872733542,55641,96,12
5.3556339044466945,55640,97,12
5.356615296860018,55640,96,13
5.3571174615083965,55639,97,13
5.357643399667541,55638,98,13
5.358367581690562,55637,99,13
5.358800581159935,55636,100,13
5.359327205821097,55635,101,13
5.359553659851867,55634,102,13
5.359959343791432,55633,103,13
5.361737761949117,55632,104,13
5.361994083862832,55631,105,13
5.363331481557211,55630,106,13
5.363453018742449,55629,107,13
5.364015986621215,55628,108,13
5.36441691050454,55627,109,13
5.364427423729311,55626,110,13
5.364858719494612,55625,111,13
5.3651790518670675,55624,112,13
5.365479157350121,55623,113,13
5.365714163307738,55623,112,14
5.366464932031722,55622,113,14
5.36707479982882,55621,114,14
5.3671560268364225,55620,115,14
5.3673803706552405,55619,116,14
5.36784277512921,55618,117,14
5.3691705861618,55617,118,14
5.369328127276969,55616,119,14
5.369673604979747,55615,120,14
5.37018523591802,55614,121,14
5.370482208804813,55613,122,14
5.370823964738969,55612,123,14
5.371403093135101,55612,122,15
5.371530541376437,55611,123,15
5.3720299857977825,55610,124,15
5.372826003281332,55609,125,15
5.3729180805172625,55608,126,15
5.373287536289934,55607,127,15
5.373551106607518,55606,128,15
5.373629973138086,55605,129,15
5.3740094475746245,55604,130,15
5.37428245726676,55603,131,15
5.374405855047193,55602,132,15
5.3746675902645515,55601,133,15
5.374718306536383,55600,134,15
5.375226898190004,55599,135,15
5.375852557465939,55598,136,15
5.378777500826837,55597,137,15
