t,S,I,R
0.0,55748,1,0
0.05899708651616855,55747,2,0
0.1566702288155554,55746,3,0
0.4550133665517698,55745,4,0
0.5467340490141384,55745,3,1
0.9657844235314947,55744,4,1
1.008255277950139,55743,5,1
1.058595202980191,55742,6,1
1.122551606411704,55741,7,1
1.4032453364079118,55740,8,1
1.9687287435243768,55739,9,1
2.065663464159432,55738,10,1
2.271313010293299,55737,11,1
2.3604263302992763,55736,12,1
2.3770775186486883,55735,13,1
2.4099933210601527,55734,14,1
2.462912442167981,55733,15,1
2.6688885524355666,55732,16,1
2.674805228437374,55731,17,1
2.7972942756293224,55730,18,1
2.8008015620538345,55729,19,1
2.806909788415754,55728,20,1
2.8101454129904537,55727,21,1
2.907393896855078,55726,22,1
2.926715967258491,55725,23,1
3.048834137414235,55724,24,1
3.049138216949232,55723,25,1
3.086256991025121,55723,24,2
3.13267675762891,55722,25,2
3.1548265539587215,55721,26,2
3.1611147544871128,55720,27,2
3.224125694041133,55719,28,2
3.230658926051589,55719,27,3
3.306975022378784,55718,28,3
3.323612845520103,55717,29,3
3.336388713731555,55717,28,4
3.3438195314119015,55716,29,4
3.3570961444835468,55715,30,4
3.37916490517831,55714,31,4
3.390916117448501,55713,32,4
3.395694733153458,55712,33,4
3.4029343150162132,55711,34,4
3.4293261748609996,55710,35,4
3.432218890486593,55709,36,4
3.4513050316631606,55708,37,4
3.460938337424108,55708,36,5
3.4614003567978187,55707,37,5
3.4627538375398026,55706,38,5
3.4679097283443463,55705,39,5
3.4805616181204933,55704,40,5
3.497695589161984,55703,41,5
3.5050383888049037,55702,42,5
3.529099552569206,55701,43,5
3.5309081939204168,55700,44,5
3.5473263197223357,55699,45,5
3.5607426393738497,55698,46,5
3.5726915522534255,55697,47,5
3.579607968596179,55697,46,6
3.5896253170379095,55696,47,6
3.590778314004555,55695,48,6
3.59816733443036,55694,49,6
3.60214389230959,55693,50,6
3.6102384199953805,55692,51,6
3.613739171010611,55691,52,6
