t,S,I,R
0.0,55748,1,0
0.7617028626723481,55747,2,0
0.8664712342443439,55746,3,0
0.9775689611997753,55745,4,0
1.0035949769376833,55745,3,1
1.201563862563331,55744,4,1
1.3585806822607147,55743,5,1
1.3853179474213124,55742,6,1
1.465992198609442,55741,7,1
1.5567139533421284,55740,8,1
1.683655266771297,55740,7,2
1.7436605273435954,55739,8,2
1.7636871626518993,55738,9,2
1.7780324613159593,55737,10,2
1.88531213978752,55736,11,2
1.8879735377255562,55735,12,2
1.9734392767848097,55735,11,3
1.9762816446394624,55734,12,3
1.9918962441770636,55733,13,3
2.005338361985128,55732,14,3
2.0080369173155392,55731,15,3
2.0099706640769504,55731,14,4
2.011182791431958,55730,15,4
2.030910661472241,55729,16,4
2.038076074825579,55728,17,4
2.065359205233984,55727,18,4
2.0687340441799558,55726,19,4
2.076212992551921,55725,20,4
2.0825074271733355,55724,21,4
2.0896416580896258,55723,22,4
2.090007694203228,55722,23,4
2.1059877423137854,55721,24,4
2.1112570254616347,55720,25,4
2.1134542590132197,55719,26,4
2.1233155670646204,55718,27,4
2.1296381280566745,55717,28,4
2.134351671200563,55716,29,4
2.1369951496375617,55715,30,4
2.138359414609218,55714,31,4
2.138992202321574,55713,32,4
2.141408600286031,55712,33,4
2.141966296302907,55711,34,4
2.142169967217676,55710,35,4
2.147573755840123,55710,34,5
2.148312311032732,55709,35,5
2.1672131339141774,55708,36,5
2.1703720887551663,55707,37,5
2.1722955137279776,55707,36,6
2.1796152181236117,55706,37,6
2.1817958278989207,55706,36,7
2.1879238090775948,55705,37,7
2.1913680184617856,55704,38,7
2.195172968962399,55703,39,7
2.2087404889124524,55702,40,7
2.2091477332660245,55701,41,7
2.2159212469789678,55700,42,7
2.2294026762427515,55699,43,7
2.237697416655511,55698,44,7
2.241953919700543,55697,45,7
2.2444986475081135,55696,46,7
2.246713472447464,55695,47,7
2.25176092203901,55694,48,7
2.2535722388965485,55693,49,7
2.2568982586780413,55692,50,7
2.2585849729760374,55691,51,7
2.263308517890298,55690,52,7
2.2634829122489495,55689,53,7
2.2641417394584495,55688,54,7
2.268676470290164,55687,55,7
2.2727957184231053,55686,56,7
2.2729728790559802,55685,57,7
2.275579986324801,55684,58,7
2.2786265214947443,55683,59,7
2.2801548191142795,55682,60,7
2.280239407065155,55681,61,7
2.2831578339885006,55680,62,7
2.2854533877708114,55679,63,7
2.2856336802711152,55678,64,7
2.2934537361390195,55677,65,7
2.2950039416577255,55676,66,7
2.297726146015803,55675,67,7
2.2990826524307053,55675,66,8
2.301561307160938,55674,67,8
2.3018642155989424,55673,68,8
2.302284105058754,55672,69,8
2.3033143974603956,55671,70,8
2.304798220726771,55670,71,8
2.3093554834878236,55669,72,8
2.3097297793224434,55669,71,9
2.3157938158273232,55668,72,9
2.3164823934096552,55667,73,9
2.3202068242962874,55666,74,9
2.3259179472044913,55665,75,9
2.327181820643571,55664,76,9
2.329578963498255,55663,77,9
2.3354649357831048,55662,78,9
2.335983676390253,55661,79,9
2.3360471827535534,55660,80,9
2.337058177536286,55659,81,9
2.337336528491674,55658,82,9
2.337751361166515,55657,83,9
2.341372480358551,55656,84,9
2.3429452329284493,55655,85,9
2.3442935705506773,55654,86,9
2.3465640717465384,55653,87,9
2.3494952431663423,55652,88,9
2.3501481863595823,55652,87,10
2.351917556724137,55651,88,10
2.3569663958351574,55650,89,10
2.3571575433922365,55649,90,10
2.3588396776513454,55648,91,10
2.3605552677957773,55647,92,10
2.36142528079877,55646,93,10
2.36496741614674,55645,94,10
2.3663891178703658,55644,95,10
2.3674980825412177,55643,96,10
2.369707808254299,55642,97,10
2.37288210524156,55641,98,10
2.3730591138709958,55640,99,10
2.3758377835340694,55639,100,10
2.3765554714536927,55638,101,10
2.3774766912772956,55638,100,11
2.378920287146964,55637,101,11
2.378938018362064,55636,102,11
2.3789550272188085,55635,103,11
2.379089057934501,55634,104,11
2.380786229959176,55633,105,11
2.381586190064316,55632,106,11
2.381798192434724,55631,107,11
2.3824403252754394,55630,108,11
2.3873695706337674,55630,107,12
2.3880914069822103,55629,108,12
2.3892663092172235,55628,109,12
2.3894241257286213,55627,110,12
2.391035174758644,55626,111,12
2.392974204168496,55626,110,13
2.393532993803799,55625,111,13
2.395072922253672,55624,112,13
2.400326970245739,55623,113,13
2.4003928884084504,55622,114,13
2.4011617805505026,55621,115,13
2.4013263762605073,55620,116,13
2.405832978722284,55619,117,13
2.405900161229185,55618,118,13
2.4073111521178037,55618,117,14
2.4075286781920813,55617,118,14
2.4084471366764784,55616,119,14
2.4095639201119377,55615,120,14
2.410788907980365,55614,121,14
2.413595602982769,55613,122,14
2.4137820789118263,55612,123,14
2.4142070178072523,55611,124,14
2.4158356002988937,55610,125,14
2.416645748968607,55609,126,14
2.418461692418414,55608,127,14
2.4200125654887463,55607,128,14
2.4220245515134566,55606,129,14
2.4232987771568975,55605,130,14
2.423998464010693,55604,131,14
2.4253377661579374,55603,132,14
2.4257408271537058,55602,133,14
2.4266721501572945,55601,134,14
2.428248446691885,55600,135,14
2.4312827249126965,55599,136,14
2.4346803145350844,55598,137,14
2.4347743676728655,55598,136,15
2.4351485249132985,55597,137,15
2.436526425820788,55596,138,15
2.4381168167641247,55596,137,16
2.4396989468254358,55595,138,16
2.44131876764127,55594,139,16
2.4421240513292832,55594,138,17
2.4450006500511967,55593,139,17
2.4460078773025424,55592,140,17
2.4467661050284377,55591,141,17
2.447178486825838,55590,142,17
2.4500912806937434,55589,143,17
2.4517282729366014,55588,144,17
2.4517773576670376,55587,145,17
2.4517862729046715,55586,146,17
2.4519797956724734,55585,147,17
2.4522457037269163,55584,148,17
2.452961048211369,55583,149,17
2.4535373292900435,55582,150,17
2.4541363294150593,55581,151,17
2.4550641137954563,55580,152,17
2.455191651848896,55579,153,17
2.455207257632978,55578,154,17
2.455707117427687,55577,155,17
2.4559007197923304,55577,154,18
2.456676273126183,55576,155,18
2.4570896708546495,55575,156,18
2.4575121089229954,55574,157,18
2.457892953285787,55573,158,18
2.458312367965289,55572,159,18
2.459111701119134,55571,160,18
2.459142773415038,55570,161,18
2.459386335538685,55569,162,18
2.4594888294015935,55568,163,18
2.4611661206446533,55567,164,18
2.4612356462239,55566,165,18
2.461418129466429,55565,166,18
2.4617769697040375,55564,167,18
2.4621948938271374,55563,168,18
2.462438349394475,55562,169,18
2.462792331468653,55561,170,18
2.4628203200298078,55560,171,18
2.463773930209884,55559,172,18
