t,S,I,R
0.0,55748,1,0
0.8459056185284585,55747,2,0
0.9418630976398613,55746,3,0
1.0823581769616588,55745,4,0
1.1656520011729405,55744,5,0
1.2668510704186442,55743,6,0
1.2865144740258592,55742,7,0
1.3111287037689803,55742,6,1
1.3361914146337028,55742,5,2
1.3459203896032632,55741,6,2
1.3706707081404994,55740,7,2
1.3766036751672954,55739,8,2
1.4425451058208618,55738,9,2
1.4482036118149328,55738,8,3
1.4806377740094196,55737,9,3
1.4935317673851438,55736,10,3
1.5341776376340168,55735,11,3
1.541558125316846,55734,12,3
1.5431610729238383,55733,13,3
1.5659146124470023,55732,14,3
1.5676479199936018,55731,15,3
1.577214059961325,55730,16,3
1.589299160891585,55730,15,4
1.6024655607555998,55729,16,4
1.6259658378240598,55729,15,5
1.6405473482253834,55728,16,5
1.6539622704574477,55727,17,5
1.6907775593741314,55726,18,5
1.7376881832215516,55725,19,5
1.7476555579509432,55724,20,5
1.7563578536107163,55723,21,5
1.7593145251498452,55722,22,5
1.7865273611062946,55721,23,5
1.7930482708019677,55720,24,5
1.7975971842255822,55719,25,5
1.802912452502043,55719,24,6
1.8130807800760742,55718,25,6
1.8212911244372272,55717,26,6
1.8237714035692751,55716,27,6
1.8326225033652916,55715,28,6
1.8407615118794813,55714,29,6
1.8740559718650232,55713,30,6
1.8845767151081474,55712,31,6
1.8936120505350273,55712,30,7
1.8973225842771175,55712,29,8
1.9231553388225526,55712,28,9
1.9318987506930376,55711,29,9
1.9340862371125385,55711,28,10
1.9450435557906252,55711,27,11
1.9478639302928682,55710,28,11
1.9495021874419072,55709,29,11
1.9537155558784016,55708,30,11
1.9604078190432555,55707,31,11
1.967249907207992,55706,32,11
1.9785841799391324,55705,33,11
1.9857379036552116,55705,32,12
2.007648276900988,55704,33,12
2.0380799585757803,55704,32,13
2.051275716966601,55703,33,13
2.066951082886842,55702,34,13
2.0886760138477993,55701,35,13
2.120798717468101,55701,34,14
2.1284381267616794,55700,35,14
2.1313753261138197,55699,36,14
2.1337024058827483,55698,37,14
2.147787032156918,55697,38,14
2.1507951927462057,55697,37,15
2.1508816648704694,55696,38,15
2.156420597281638,55695,39,15
2.1564967359354252,55695,38,16
2.156737795215533,55694,39,16
2.1675722691537866,55693,40,16
2.1693136641572375,55692,41,16
2.1795143900220824,55691,42,16
2.181233846916004,55690,43,16
2.1862312716295333,55689,44,16
2.186618354061246,55688,45,16
2.187772978274899,55687,46,16
2.1885067488483334,55687,45,17
2.1906386752690774,55686,46,17
2.1936603885439494,55686,45,18
2.195918987573244,55685,46,18
2.196307170184378,55684,47,18
2.1987815734458094,55683,48,18
2.2041519910383522,55682,49,18
2.205010313710294,55681,50,18
2.212917913620192,55680,51,18
2.213825476431281,55679,52,18
2.2142077624896594,55678,53,18
2.2173123236098964,55677,54,18
2.221130870768227,55676,55,18
2.2216043838166026,55675,56,18
2.22530062752825,55674,57,18
2.2275788060927364,55673,58,18
2.2280175554051107,55672,59,18
