t,S,I,R
0.0,55748,1,0
0.7583042990893851,55747,2,0
0.8602125948580156,55746,3,0
0.8671877724790884,55745,4,0
0.8828576414838749,55744,5,0
0.9287949071861105,55743,6,0
0.9555505047424513,55742,7,0
0.9644072121315234,55741,8,0
0.9741351880973006,55740,9,0
1.0341372740359978,55740,8,1
1.045680288442869,55739,9,1
1.049864946669541,55739,8,2
1.0511810759294586,55738,9,2
1.0614347871850207,55737,10,2
1.0714010388495345,55736,11,2
1.072253450731523,55735,12,2
1.0812141678992826,55734,13,2
1.0860575649209239,55733,14,2
1.0902666697559658,55732,15,2
1.0932153971364729,55731,16,2
1.0966716777519943,55730,17,2
1.1053718247422106,55729,18,2
1.105839472306345,55728,19,2
1.1090772045831183,55727,20,2
1.1110689587875986,55726,21,2
1.1180445459775363,55725,22,2
1.1279261365046214,55725,21,3
1.1584294879077603,55724,22,3
1.1653613598897858,55723,23,3
1.1666614446883181,55722,24,3
1.1696574844454526,55721,25,3
1.1743292185742855,55720,26,3
1.176797118541446,55719,27,3
1.1780829353648263,55718,28,3
1.1828588843226497,55717,29,3
1.1846324236705055,55716,30,3
1.1851279917777124,55715,31,3
1.1880623278451008,55714,32,3
1.1887896939069909,55713,33,3
1.1890532668739289,55712,34,3
1.192886015792679,55711,35,3
1.1943994100788373,55710,36,3
1.1945535859862295,55709,37,3
1.1962819754471423,55708,38,3
1.1963265615545706,55707,39,3
1.1964251463316258,55706,40,3
1.1983537392643486,55705,41,3
1.198538182900088,55704,42,3
1.1990459672726175,55703,43,3
1.1992687330915324,55702,44,3
1.201928755952037,55701,45,3
1.2026173198602217,55700,46,3
1.2027646993219006,55699,47,3
1.20292829822479,55698,48,3
1.202955438423061,55697,49,3
1.2030819416517848,55696,50,3
1.2036918914040886,55695,51,3
1.2040289364091254,55694,52,3
1.2044559298097097,55693,53,3
1.204513745643345,55692,54,3
1.2046301748867094,55691,55,3
1.2055955655963708,55690,56,3
1.2063405797698348,55689,57,3
1.2064502400020216,55688,58,3
1.2065269866428572,55687,59,3
1.2069097326009153,55686,60,3
1.20746815561363,55685,61,3
1.2077786289467538,55684,62,3
1.207853748392069,55683,63,3
1.2078901555628068,55682,64,3
1.2083699675802173,55681,65,3
1.208387900077576,55680,66,3
1.208749776593601,55679,67,3
1.2088139306831196,55678,68,3
1.209188592838506,55677,69,3
1.209362368377313,55676,70,3
1.2095103242990708,55675,71,3
1.209595452014476,55674,72,3
1.2098406351106061,55673,73,3
1.2099133355403808,55672,74,3
1.211017886347497,55671,75,3
1.2113605700330394,55670,76,3
1.2114091695751887,55669,77,3
1.211598598701259,55668,78,3
1.2117916078387272,55667,79,3
1.2130723506275127,55666,80,3
1.213086380403441,55665,81,3
1.2130911979155303,55664,82,3
1.2131411679560486,55663,83,3
1.2133199818243745,55662,84,3
1.21333018167003,55661,85,3
1.2134452545754923,55660,86,3
1.213446255014314,55659,87,3
1.2134472940243284,55658,88,3
1.2135229949454802,55657,89,3
1.2141590399434063,55656,90,3
1.2141845721183875,55655,91,3
1.2145138850945154,55654,92,3
1.2149477450963129,55653,93,3
1.2149909241793675,55652,94,3
1.2150711729709123,55651,95,3
1.2153207498097538,55650,96,3
1.2153219777484467,55649,97,3
1.21545101123267,55648,98,3
1.2155542415573606,55647,99,3
1.2156512346266435,55646,100,3
1.2157277245885245,55645,101,3
1.2159573078806774,55644,102,3
1.2159799512990144,55643,103,3
1.2160686226737456,55642,104,3
1.216281518256079,55641,105,3
1.2164432371176408,55640,106,3
1.2168641294770208,55639,107,3
1.2169803932496293,55638,108,3
1.217238267351737,55637,109,3
1.217301002776855,55636,110,3
1.2174903316939572,55635,111,3
1.2176693028594197,55634,112,3
1.217712592609389,55633,113,3
1.217715522125433,55632,114,3
1.2178679197338782,55631,115,3
1.2178787573295622,55630,116,3
1.2178791876054054,55629,117,3
1.2179725455043178,55628,118,3
1.2180157905491378,55627,119,3
1.218208179089059,55626,120,3
1.218554460408504,55625,121,3
1.218945777092838,55624,122,3
1.2189474183673439,55623,123,3
1.2191718215426268,55622,124,3
1.2193323564024234,55621,125,3
1.2193732510448072,55620,126,3
1.2196014841451424,55619,127,3
1.2197621234949816,55618,128,3
1.2197774262526373,55617,129,3
1.2198057661509356,55616,130,3
1.2203021547663286,55615,131,3
1.2204667708404988,55614,132,3
1.2207433255572777,55613,133,3
1.220961565118807,55612,134,3
1.2209688163759684,55611,135,3
1.2209818045041623,55610,136,3
1.2212309558387027,55609,137,3
1.2212623840646466,55608,138,3
1.2214730095528086,55607,139,3
1.2215074949476035,55606,140,3
1.2216135151491057,55605,141,3
1.2216478499643386,55604,142,3
1.2217382458782917,55603,143,3
1.2218029572024822,55602,144,3
1.2221101550696094,55601,145,3
1.222212997684819,55600,146,3
1.222398271675945,55599,147,3
1.22256720905344,55598,148,3
1.2226802391056775,55597,149,3
1.2228860472186922,55596,150,3
1.2229239934398184,55595,151,3
1.223035296347055,55594,152,3
1.2231400409045294,55593,153,3
1.2231462816971275,55592,154,3
1.2235324654047972,55591,155,3
1.2238086643509523,55590,156,3
1.224002073515148,55589,157,3
1.2242685086880039,55588,158,3
1.224549889547117,55587,159,3
1.2245699150195175,55586,160,3
1.224599995089627,55585,161,3
1.2248815224269665,55584,162,3
1.2249217271050046,55583,163,3
1.2250731716377434,55582,164,3
1.225078791694124,55581,165,3
1.225178182297854,55581,164,4
1.225330012404448,55580,165,4
1.2253851267393983,55579,166,4
1.2254547668218811,55578,167,4
1.2255046931781999,55577,168,4
1.2255518773586993,55576,169,4
1.2256063315243473,55575,170,4
1.2256679719952455,55574,171,4
1.2257738949047623,55573,172,4
1.2257776815344097,55572,173,4
1.2258769155588494,55571,174,4
1.2261751038401403,55570,175,4
1.2262753338456465,55569,176,4
1.2263299247471517,55568,177,4
1.2264610580933053,55567,178,4
1.2266740669179785,55566,179,4
1.2268556216422368,55565,180,4
1.2268932768481857,55564,181,4
1.2270027742944383,55563,182,4
1.2271903347119228,55562,183,4
1.2272831722888777,55561,184,4
1.2273741448843478,55560,185,4
1.2274507237350776,55559,186,4
1.2274870906580222,55558,187,4
1.2275025934121795,55557,188,4
1.2275220331258827,55556,189,4
1.2276054269015015,55555,190,4
1.2276099277591634,55554,191,4
1.2276303532017354,55553,192,4
1.2276954979526422,55552,193,4
1.2278076235415218,55551,194,4
1.2278634571658193,55550,195,4
1.2278663307762576,55549,196,4
1.2279010870222669,55548,197,4
1.227917630337853,55547,198,4
1.227961466228107,55546,199,4
1.2279843447643035,55545,200,4
1.228164698347848,55544,201,4
1.228186681409768,55543,202,4
1.2282764893355282,55542,203,4
1.2283650624858409,55541,204,4
1.2284188026749683,55540,205,4
1.2284544767819412,55539,206,4
1.2285008859995121,55538,207,4
1.2285265569247878,55537,208,4
1.2285757113932108,55536,209,4
1.2286865186763614,55535,210,4
1.2287860587743742,55534,211,4
1.22880032932345,55533,212,4
1.2288003427978054,55532,213,4
1.2288080613226082,55531,214,4
1.228821609340142,55530,215,4
1.2288235752160508,55529,216,4
1.2288448718215155,55528,217,4
1.2289327688199378,55527,218,4
