t,S,I,R
0.0,55748,1,0
0.29349152504277437,55747,2,0
0.5077759286738361,55746,3,0
0.6316385524803532,55745,4,0
0.6344315279069201,55744,5,0
0.6431962151572022,55743,6,0
0.650881424701675,55742,7,0
0.6545804401944483,55741,8,0
0.7000283919946554,55741,7,1
0.7432984401889895,55740,8,1
0.7744016562868721,55739,9,1
0.7778577120420241,55738,10,1
0.7801096911736816,55737,11,1
0.7861405435854498,55736,12,1
0.7911623622112234,55735,13,1
0.798006189575533,55734,14,1
0.8462529242824757,55733,15,1
0.847193259770566,55732,16,1
0.8549539151378536,55731,17,1
0.8557519784523406,55730,18,1
0.8750794729697153,55729,19,1
0.8758035761819808,55728,20,1
0.876062497491219,55727,21,1
0.8814403064809805,55726,22,1
0.8814567969785111,55725,23,1
0.9084614656847023,55724,24,1
0.916136208960661,55723,25,1
0.9171991009399251,55722,26,1
0.9247572519501983,55721,27,1
0.9292533653933741,55720,28,1
0.9333135339151336,55719,29,1
0.934739465968321,55718,30,1
0.9368894653210842,55717,31,1
0.9402198688701946,55716,32,1
0.9413103665062676,55715,33,1
0.9415520626081837,55714,34,1
0.9429336063652369,55713,35,1
0.9436393796419458,55712,36,1
0.9445097196416201,55711,37,1
0.9456717774541396,55710,38,1
0.9481616454688374,55709,39,1
0.9482358627626586,55708,40,1
0.9490556104561547,55707,41,1
0.9571432664297062,55706,42,1
0.9576666763643042,55705,43,1
0.9598047947234712,55704,44,1
0.9607221442349878,55703,45,1
0.9616307160210753,55702,46,1
0.9619210118493728,55701,47,1
0.969969273800885,55700,48,1
0.9727369921643937,55699,49,1
0.9764939700132146,55698,50,1
0.9792289081990307,55697,51,1
0.9799712004798163,55696,52,1
0.982262270258186,55695,53,1
0.9837027484089031,55694,54,1
0.9842054984987207,55693,55,1
0.9870830110684847,55692,56,1
0.9913753844652782,55691,57,1
0.9938293414788273,55690,58,1
0.9945535339951228,55689,59,1
0.9951929276376416,55688,60,1
0.9982751678509527,55687,61,1
0.999808740735678,55686,62,1
1.0001919292477837,55685,63,1
1.002060123547773,55684,64,1
1.0034690121772512,55683,65,1
1.0038082965624047,55682,66,1
1.0063273463616254,55681,67,1
