t,S,I,R
0.0,55748,1,0
8.441188485080486,55747,2,0
8.830475838264906,55746,3,0
11.007354850221928,55746,2,1
11.239426871739957,55745,3,1
11.323631497175759,55744,4,1
11.813732163088904,55743,5,1
12.655257292391862,55742,6,1
12.65902278004614,55741,7,1
12.827039296352078,55740,8,1
12.969754001446287,55739,9,1
13.027925989661245,55738,10,1
13.155763227423009,55737,11,1
13.521165333681763,55736,12,1
13.528174468678952,55736,11,2
13.573829727746041,55735,12,2
13.612243364247474,55734,13,2
13.676743812521638,55733,14,2
13.778324362413631,55732,15,2
13.783876535718456,55731,16,2
13.804016169625609,55730,17,2
13.811672598269595,55729,18,2
13.871020206937677,55728,19,2
13.88492125312529,55728,18,3
14.069711808569263,55727,19,3
14.091991738438045,55726,20,3
14.175751059615637,55725,21,3
14.1909895450997,55725,20,4
14.29074448330842,55724,21,4
14.398130946410141,55723,22,4
14.42246247275287,55723,21,5
14.423964032824497,55722,22,5
14.44023465996407,55721,23,5
14.476429265765702,55720,24,5
14.489462276179745,55720,23,6
14.550966743778488,55719,24,6
14.556459108960734,55718,25,6
14.568595012715772,55717,26,6
14.572940010634321,55716,27,6
14.637222565153797,55715,28,6
14.689221878148292,55714,29,6
14.697131361890657,55713,30,6
14.706389470658134,55713,29,7
14.757051802776687,55712,30,7
14.757090761550067,55711,31,7
14.819627904333569,55710,32,7
14.850974065373403,55709,33,7
14.858526223138654,55708,34,7
14.882101781220985,55707,35,7
14.912685891739214,55706,36,7
14.916369864787864,55705,37,7
14.921306707948801,55704,38,7
14.928531411348333,55703,39,7
14.945151569170175,55702,40,7
14.965109686038453,55701,41,7
14.98808708515998,55700,42,7
15.0167841838225,55699,43,7
15.017123317197285,55698,44,7
15.03549499584631,55697,45,7
15.050789685922945,55697,44,8
15.100348526925732,55696,45,8
15.130656432660171,55695,46,8
15.153733803370924,55695,45,9
15.180420475924146,55694,46,9
15.221289547279081,55693,47,9
15.221948859778912,55692,48,9
15.23299664004059,55691,49,9
15.280000518937744,55690,50,9
15.285288855897381,55689,51,9
15.289535718441757,55689,50,10
15.310835092742105,55688,51,10
15.323892145324269,55687,52,10
15.343566163038796,55686,53,10
15.40718743937386,55685,54,10
15.412338591445431,55684,55,10
15.433148321067595,55683,56,10
15.45095636720362,55682,57,10
15.462178688764787,55681,58,10
15.47405348844633,55680,59,10
15.474450331543508,55680,58,11
15.48125654357438,55679,59,11
15.484034574814476,55678,60,11
15.487305027087096,55677,61,11
15.495444931707608,55676,62,11
15.498723237015126,55675,63,11
15.559371779015857,55674,64,11
15.560058211308418,55673,65,11
15.569984250987039,55672,66,11
15.581769005320789,55671,67,11
15.594234269645828,55670,68,11
15.600181498351832,55669,69,11
15.605973212376238,55668,70,11
15.61417210249199,55667,71,11
15.628158335170374,55666,72,11
15.64154932515783,55665,73,11
15.652214113885634,55664,74,11
15.653092608868404,55663,75,11
15.655592289080618,55662,76,11
15.668059878112304,55661,77,11
15.67530714797909,55660,78,11
15.676384866375614,55659,79,11
15.679955123453215,55658,80,11
15.683341002376737,55657,81,11
15.692081923299828,55657,80,12
15.693718548848343,55656,81,12
15.701400038798297,55655,82,12
15.703881295723116,55654,83,12
15.705315546518488,55653,84,12
15.707275348798499,55652,85,12
15.723837141586404,55651,86,12
15.729138988594746,55650,87,12
15.736627606120965,55649,88,12
15.738296584840876,55649,87,13
15.740052767005807,55648,88,13
15.7414060383914,55647,89,13
15.74153238450904,55647,88,14
15.744393265710205,55646,89,14
15.747326903581184,55645,90,14
15.754899060259746,55644,91,14
15.756533272197743,55643,92,14
15.757406212535834,55642,93,14
15.758294807721102,55641,94,14
15.758874995223746,55640,95,14
15.759870488561393,55639,96,14
15.763417086542642,55638,97,14
15.766912767032062,55637,98,14
15.777349837767582,55636,99,14
15.781655557494934,55635,100,14
15.783975041432903,55634,101,14
15.784170994602771,55634,100,15
15.784922876318962,55633,101,15
15.7854638724523,55632,102,15
15.786606030951358,55631,103,15
15.788362081201551,55630,104,15
15.788803154934126,55629,105,15
15.789249411933946,55628,106,15
15.79309874248665,55627,107,15
15.793921311113829,55626,108,15
15.79510936133492,55625,109,15
15.795228513306096,55624,110,15
15.79562608680028,55623,111,15
15.796374918846517,55622,112,15
15.79922593004179,55621,113,15
15.802097219273367,55621,112,16
15.802412577899311,55620,113,16
15.802917700411884,55619,114,16
15.8033990694078,55618,115,16
15.805017975037133,55617,116,16
15.806564190300366,55616,117,16
15.807196982751453,55615,118,16
15.808517491960735,55614,119,16
15.808677492895557,55613,120,16
15.812296147021119,55612,121,16
15.812675438721932,55611,122,16
15.813557301104963,55610,123,16
15.813766247760768,55609,124,16
15.816754259202046,55608,125,16
15.819891484496576,55607,126,16
15.820781577438058,55606,127,16
15.826122919906403,55605,128,16
15.828885420062257,55604,129,16
15.829986086136962,55603,130,16
15.830419907364506,55602,131,16
15.832619066771322,55601,132,16
15.833378531776585,55600,133,16
15.834636816116737,55599,134,16
15.83508789867387,55598,135,16
15.835247260522014,55597,136,16
15.836844668242485,55596,137,16
15.83727266745045,55595,138,16
15.83739030704581,55594,139,16
15.837659578856483,55593,140,16
15.83836654420389,55592,141,16
15.840211515340224,55591,142,16
15.843112200038618,55590,143,16
15.843397218363942,55589,144,16
15.844432074849376,55588,145,16
15.844662608476167,55587,146,16
15.846986889965878,55586,147,16
15.84725556135366,55585,148,16
15.848810629756938,55584,149,16
15.849465268794516,55583,150,16
15.849836046744365,55582,151,16
15.851205346814428,55581,152,16
15.851240079126384,55580,153,16
15.85190851865758,55579,154,16
15.851945915705945,55578,155,16
15.853347875164175,55577,156,16
15.853846880186651,55576,157,16
15.854040109322872,55575,158,16
15.856961379359085,55575,157,17
15.857148544330016,55574,158,17
15.857441410841714,55573,159,17
15.85811774829954,55572,160,17
15.858685871387138,55571,161,17
15.859799753662788,55570,162,17
15.859804232011843,55569,163,17
15.861274400678536,55568,164,17
15.861783880333357,55567,165,17
15.862488660204889,55566,166,17
15.863824383052176,55565,167,17
15.865301864567101,55564,168,17
15.865650652326636,55563,169,17
15.865875436436133,55562,170,17
15.866441972529088,55561,171,17
15.867204093471756,55560,172,17
15.86779744692896,55559,173,17
15.868863228670964,55558,174,17
15.87103284792378,55557,175,17
15.872806654967066,55556,176,17
15.872904260829662,55555,177,17
15.873315268361566,55554,178,17
15.87360775052884,55553,179,17
15.874204325691055,55552,180,17
15.875252504286632,55551,181,17
15.875708673829905,55550,182,17
15.87674026339111,55549,183,17
15.877177515738154,55548,184,17
15.877993377949597,55547,185,17
15.878568302554333,55546,186,17
15.879286518590044,55545,187,17
15.879965685473097,55544,188,17
15.880045719657772,55543,189,17
15.881225310100957,55542,190,17
15.882020090703042,55541,191,17
15.882170524238516,55540,192,17
15.882944810117985,55539,193,17
15.883659172759208,55538,194,17
15.884742335861906,55537,195,17
15.885498353343955,55536,196,17
15.885724521002457,55535,197,17
15.887443601444211,55534,198,17
15.887862304159768,55533,199,17
15.88870458588505,55532,200,17
15.889609956192691,55531,201,17
15.889968835687199,55530,202,17
15.890306730175435,55529,203,17
15.890614457592475,55528,204,17
15.891180932076432,55527,205,17
15.89137047098397,55526,206,17
15.891472871234106,55525,207,17
15.891603544191373,55525,206,18
15.894136376319643,55524,207,18
15.894150374850506,55523,208,18
15.89438793381451,55522,209,18
15.894456393055084,55521,210,18
15.894903180742473,55520,211,18
15.89531396487149,55519,212,18
15.895692480870897,55518,213,18
15.896816401886367,55517,214,18
15.898541699357395,55516,215,18
15.898922673599246,55515,216,18
15.899359383011465,55514,217,18
15.89970478790907,55513,218,18
15.899739698716928,55512,219,18
15.901924386617548,55511,220,18
15.903728414579348,55510,221,18
15.904072639064282,55509,222,18
15.905790251338793,55508,223,18
15.906268154167911,55507,224,18
15.906387792882938,55506,225,18
15.906594772220876,55505,226,18
15.906811016561534,55504,227,18
15.90774523099074,55503,228,18
15.908208554977001,55502,229,18
15.908452970107108,55501,230,18
15.90944316735216,55500,231,18
15.910148720186017,55499,232,18
15.911341004379196,55498,233,18
15.912210394141447,55497,234,18
15.912228466777727,55496,235,18
15.913209938121579,55495,236,18
15.914048179982004,55494,237,18
15.914095607704049,55493,238,18
15.914212708093562,55492,239,18
15.916764729724056,55491,240,18
15.917517075594379,55490,241,18
15.918018244675011,55489,242,18
15.918512179852105,55488,243,18
15.918695684272917,55487,244,18
15.918738651980458,55486,245,18
15.921601860375379,55485,246,18
15.922299359886615,55484,247,18
15.922981958890649,55483,248,18
15.923091494058362,55482,249,18
15.923332161233265,55481,250,18
15.923782768166829,55480,251,18
15.9248288772587,55479,252,18
15.925019750339967,55478,253,18
15.925559501993455,55477,254,18
15.925596189493545,55476,255,18
15.92583905425338,55475,256,18
15.926135593390294,55474,257,18
15.927057825262125,55473,258,18
15.927155123221837,55472,259,18
15.929045946393725,55471,260,18
15.929118990117814,55470,261,18
15.929666368421927,55469,262,18
15.929786295152955,55468,263,18
15.929945258047585,55467,264,18
15.93221393695774,55466,265,18
15.932332698932086,55465,266,18
15.933825320159803,55464,267,18
15.935748634703232,55463,268,18
15.936490226942484,55462,269,18
15.938315342073256,55461,270,18
15.938889784966953,55460,271,18
15.939740395818692,55459,272,18
15.940029102364294,55458,273,18
15.941561203889792,55457,274,18
15.94201801797882,55456,275,18
15.942630357889058,55455,276,18
15.944729217596656,55454,277,18
15.945162463340505,55453,278,18
15.945808325064531,55452,279,18
15.946141599283049,55451,280,18
15.9466156260831,55450,281,18
15.947025321081325,55449,282,18
15.94784529874737,55448,283,18
15.948391577087195,55447,284,18
15.948463684273976,55446,285,18
15.949243331466555,55445,286,18
15.949251766820087,55444,287,18
15.949898946929622,55443,288,18
15.950005184621794,55442,289,18
15.950544747156925,55441,290,18
15.950915410436984,55441,289,19
15.95254201818445,55440,290,19
15.952563518844025,55439,291,19
15.952803723315279,55438,292,19
15.952821639435008,55437,293,19
15.952884711129473,55437,292,20
15.953795688437395,55436,293,20
15.954023361243364,55435,294,20
15.954352988561643,55434,295,20
15.955334227162767,55433,296,20
15.955506443862705,55432,297,20
15.955665315255283,55431,298,20
15.956040547553673,55430,299,20
15.957708939165947,55429,300,20
15.95825709449896,55428,301,20
15.958747905902523,55427,302,20
15.95980076231979,55426,303,20
15.961137872195899,55425,304,20
15.961614305286272,55424,305,20
15.961835975774754,55423,306,20
15.96203267190573,55422,307,20
15.962068572334461,55421,308,20
15.962272459243675,55420,309,20
15.962366453825174,55419,310,20
15.962586439686072,55418,311,20
15.96301254881605,55417,312,20
15.963169856861363,55416,313,20
15.964261656577168,55415,314,20
15.964973202297093,55414,315,20
15.966295986964639,55413,316,20
15.966574570002793,55412,317,20
15.968610117163792,55411,318,20
15.968961162241651,55410,319,20
15.969575446371827,55409,320,20
15.969976747702892,55408,321,20
15.970567146193485,55407,322,20
15.97119412865614,55406,323,20
15.97259370652852,55405,324,20
15.972679774672343,55404,325,20
15.973534973694955,55403,326,20
15.97461420358448,55402,327,20
15.974775917827724,55401,328,20
15.9763564892879,55400,329,20
15.976684889409857,55399,330,20
15.977888962192623,55398,331,20
15.978549750887467,55397,332,20
15.979843778588663,55396,333,20
15.98100618332489,55395,334,20
15.98294581242841,55394,335,20
15.98342334734438,55393,336,20
15.983652182404075,55392,337,20
15.983821601927296,55391,338,20
15.984408661113592,55390,339,20
15.984534829974509,55389,340,20
15.984542844007752,55388,341,20
15.98523237986625,55387,342,20
15.985841156618966,55386,343,20
15.985880399262872,55385,344,20
15.986260161715771,55384,345,20
15.986733443838437,55383,346,20
15.987236183792957,55382,347,20
15.987287940872838,55381,348,20
15.98749674328743,55380,349,20
15.989005235098551,55379,350,20
15.989271861597388,55378,351,20
15.991057580101558,55377,352,20
15.992587571963863,55376,353,20
15.994137322151644,55375,354,20
15.994735529692102,55374,355,20
15.99473846293176,55373,356,20
15.994855957454869,55372,357,20
15.99510974072405,55371,358,20
15.995518190860135,55370,359,20
15.99624051220025,55369,360,20
15.996599071263018,55368,361,20
15.997103391916339,55367,362,20
15.997473376288012,55366,363,20
15.998850898916075,55365,364,20
15.99921363485392,55365,363,21
15.999650544940875,55364,364,21
16.00102724632982,55363,365,21
16.001122278683233,55362,366,21
16.001821569989904,55361,367,21
16.00258360036185,55360,368,21
16.002741004769945,55359,369,21
16.00610293101748,55358,370,21
16.00701316371832,55357,371,21
16.00742176885912,55356,372,21
16.007792282749755,55355,373,21
16.011217211207928,55354,374,21
16.011445095189032,55353,375,21
16.01181731382822,55352,376,21
16.011854029092564,55351,377,21
16.012817511044126,55350,378,21
16.013493808669498,55349,379,21
16.01698303220949,55348,380,21
16.017576677316384,55347,381,21
16.01784006921731,55346,382,21
16.018826192775165,55345,383,21
16.02035727633002,55344,384,21
16.02184166140802,55343,385,21
16.02256138122822,55342,386,21
16.02267296055892,55341,387,21
16.0247977381631,55340,388,21
16.025245942391777,55339,389,21
16.02713093935589,55338,390,21
16.028207355788386,55337,391,21
16.029270949007696,55336,392,21
16.030011996174892,55335,393,21
16.031022965633642,55334,394,21
16.0331245132812,55333,395,21
16.033772921320608,55332,396,21
16.03501685454159,55331,397,21
16.03593712996811,55330,398,21
16.03628726935181,55329,399,21
16.036689866459927,55328,400,21
16.037596137399525,55327,401,21
16.03770189029717,55326,402,21
16.04010000438833,55325,403,21
16.041625170356866,55324,404,21
16.041995523834398,55324,403,22
16.044240073934304,55323,404,22
16.044848422748778,55322,405,22
16.046839510367036,55321,406,22
16.04685040925067,55321,405,23
16.047051240559327,55320,406,23
16.047701026594847,55319,407,23
16.047811842127043,55318,408,23
16.05013254307454,55317,409,23
16.05673976936405,55316,410,23
16.064451611010472,55315,411,23
16.068723149850875,55314,412,23
16.06970086615496,55313,413,23
16.072442340570333,55312,414,23
16.07361451007795,55311,415,23
16.07408394569029,55310,416,23
16.07572682757186,55309,417,23
16.07669045774521,55308,418,23
16.0776594947156,55307,419,23
16.077699097701682,55306,420,23
16.082369623041906,55305,421,23
16.08274620713768,55305,420,24
16.08297760614387,55304,421,24
16.084599109171684,55303,422,24
16.087402249345512,55302,423,24
16.089609638588712,55301,424,24
16.09248467672874,55300,425,24
16.095687557952044,55299,426,24
16.099323838157098,55298,427,24
16.101526472388763,55297,428,24
16.103437045203076,55296,429,24
16.10595062218917,55295,430,24
16.111296693182236,55294,431,24
16.111521536693758,55293,432,24
16.114103679245492,55292,433,24
16.11939565533661,55291,434,24
16.124363988577052,55290,435,24
16.12485317649467,55290,434,25
16.131485424837194,55289,435,25
16.13310031936087,55288,436,25
16.133873365494765,55287,437,25
16.138697293175802,55287,436,26
16.156273829868645,55286,437,26
16.160750894767126,55285,438,26
16.16104919795093,55285,437,27
16.165901064614395,55284,438,27
16.172992688334663,55284,437,28
16.178205422392008,55284,436,29
16.192568608732337,55283,437,29
16.202333625241863,55282,438,29
16.202485780833214,55282,437,30
16.20270452761349,55281,438,30
16.20403152608602,55280,439,30
16.20718587114299,55279,440,30
16.20795669292423,55278,441,30
16.20945986765539,55277,442,30
16.21083554348146,55276,443,30
16.214377331543655,55276,442,31
16.217903058966783,55275,443,31
16.220393023920742,55275,442,32
16.23320466975961,55274,443,32
16.233363883930735,55274,442,33
16.234733086376764,55273,443,33
16.24386562399095,55272,444,33
16.245798069826083,55272,443,34
16.246690009689154,55271,444,34
16.25412330112714,55271,443,35
16.26475293960647,55270,444,35
16.266395420258977,55269,445,35
16.28678366083773,55269,444,36
16.28896932677076,55269,443,37
16.29073243038965,55269,442,38
16.292128306516204,55268,443,38
16.293804414868116,55267,444,38
16.297975524580934,55266,445,38
16.302134555413602,55265,446,38
16.306259253964672,55265,445,39
16.31174756240865,55264,446,39
16.312887326083285,55263,447,39
16.320970164222388,55262,448,39
16.32866389880918,55261,449,39
16.328938843851805,55260,450,39
16.332976109564736,55260,449,40
16.33608789507426,55260,448,41
16.338493428277687,55259,449,41
16.350874374359922,55258,450,41
16.35256964100516,55258,449,42
16.359612584799855,55257,450,42
16.363218613203706,55256,451,42
16.369418945310123,55255,452,42
16.37596252154833,55255,451,43
16.38004374172602,55254,452,43
16.38366795914389,55254,451,44
16.384236557866913,55253,452,44
16.38751134387391,55252,453,44
16.395797983263765,55251,454,44
16.396134246673324,55250,455,44
16.39757436460175,55249,456,44
16.407978341060222,55248,457,44
16.409192167768012,55247,458,44
16.41227727376529,55246,459,44
16.41304876858885,55245,460,44
16.41597164304182,55244,461,44
16.420144908872448,55243,462,44
16.42093398891923,55242,463,44
16.42206890543656,55241,464,44
16.426041105734313,55240,465,44
16.434462517877314,55239,466,44
16.44011415515765,55238,467,44
16.442178992391387,55237,468,44
16.44566171696459,55236,469,44
16.44606985464405,55235,470,44
16.44681082032246,55234,471,44
16.447954249866413,55233,472,44
16.45103996709726,55232,473,44
16.45176464681593,55231,474,44
16.453729655346663,55230,475,44
16.465832344780782,55229,476,44
16.4673681186738,55229,475,45
16.469202560452867,55228,476,45
16.47051177909448,55227,477,45
16.471179444800622,55226,478,45
