t,S,I,R
0.0,55748,1,0
0.20589777854718133,55747,2,0
1.0005426919131206,55747,1,1
1.1106973766521206,55746,2,1
1.2905885949919897,55745,3,1
1.3520826596592446,55744,4,1
1.387144729302714,55743,5,1
1.4400306897686161,55742,6,1
1.4689737606031747,55741,7,1
1.4735336199619997,55740,8,1
1.4757133202394275,55739,9,1
1.4993110195561723,55738,10,1
1.5315347919510596,55737,11,1
1.549176852155942,55736,12,1
1.5613802784167563,55736,11,2
1.5910996307186593,55735,12,2
1.5927804216611465,55734,13,2
1.6329655943207073,55733,14,2
1.6493960606344187,55732,15,2
1.6717771143174465,55731,16,2
1.6740613534773092,55730,17,2
1.6910268658151415,55730,16,3
1.709397462987458,55729,17,3
1.7099161918951213,55728,18,3
1.7345345637491425,55727,19,3
1.7361320437464105,55726,20,3
1.7395652954061527,55726,19,4
1.7479100161010754,55725,20,4
1.7641046570193324,55724,21,4
1.7676810685786204,55723,22,4
1.7876504383895548,55722,23,4
1.8184656854180534,55721,24,4
1.8258913280723785,55720,25,4
1.828330887753122,55719,26,4
1.8399352862433558,55718,27,4
1.8460079160258287,55717,28,4
1.8472525972336773,55716,29,4
1.849465433236352,55715,30,4
1.8664644697462356,55714,31,4
1.8696235374091132,55713,32,4
1.870222140711078,55712,33,4
1.8744019641242728,55712,32,5
1.8777711498198044,55711,33,5
1.8796507860852325,55710,34,5
1.8814652377535013,55709,35,5
1.886353919924793,55708,36,5
1.8884870320447256,55707,37,5
1.8902899002285467,55706,38,5
1.8905095292870548,55706,37,6
1.8913805596990352,55705,38,6
1.8967224185421974,55704,39,6
1.8973934290908592,55703,40,6
1.9012193111721911,55702,41,6
1.9097489385214068,55701,42,6
1.9109910753370176,55700,43,6
1.9121123985270945,55699,44,6
1.912197195648919,55698,45,6
1.91412103756792,55697,46,6
1.9156670762462003,55696,47,6
1.9218385829444324,55695,48,6
1.9222257199823032,55694,49,6
1.923759287614792,55693,50,6
1.9285332852865198,55692,51,6
1.9285728683208403,55691,52,6
1.9290556124799738,55690,53,6
1.9303036261250002,55689,54,6
1.9303207499745487,55688,55,6
1.9306282036997915,55687,56,6
1.9335390655576536,55686,57,6
1.9349447193928873,55685,58,6
1.9387822335008407,55684,59,6
1.9393061483980594,55683,60,6
1.940591644534569,55682,61,6
1.9406392225179712,55681,62,6
1.9441412062649326,55680,63,6
1.9450302310849454,55679,64,6
1.9457971029919838,55678,65,6
1.9468808076210298,55677,66,6
1.9483266556533985,55676,67,6
1.9508609980809157,55675,68,6
1.9555197946016076,55674,69,6
1.9567821413717028,55673,70,6
1.958536676915548,55672,71,6
1.9586328305866563,55671,72,6
1.9606705725218998,55670,73,6
1.9612844625568562,55669,74,6
1.963461100740766,55668,75,6
1.9649618477577393,55667,76,6
1.9676265565549906,55666,77,6
1.9708657830782876,55665,78,6
1.9708863022210936,55664,79,6
1.9742540542319051,55663,80,6
1.9745505695823253,55662,81,6
1.9748006457486187,55661,82,6
1.9758907927337164,55660,83,6
1.9769562635370674,55659,84,6
1.9776423495133841,55658,85,6
1.9781654905458868,55657,86,6
1.9791728535920015,55656,87,6
1.9826742777475952,55655,88,6
1.9833820325699787,55654,89,6
1.9839815468128499,55653,90,6
1.984706754694173,55652,91,6
1.9859411624150847,55651,92,6
1.986031789907672,55650,93,6
1.9891483467989268,55649,94,6
1.9902596056593373,55648,95,6
1.9905915841023334,55647,96,6
1.994538692998556,55646,97,6
1.9950959992522734,55645,98,6
1.9958208086035993,55644,99,6
2.0016177553583137,55643,100,6
2.0021753022791193,55642,101,6
2.0023466422222227,55641,102,6
2.0052445978548907,55640,103,6
2.006650155156242,55639,104,6
2.0074424645769473,55638,105,6
2.007825781025616,55637,106,6
2.010146687878242,55636,107,6
2.010813639963056,55635,108,6
2.0108878333469336,55635,107,7
2.012330160087084,55634,108,7
2.0128514278063037,55633,109,7
2.015299718634911,55632,110,7
2.019230528738511,55631,111,7
2.020143800633784,55630,112,7
2.0210471574019335,55629,113,7
2.021060816057722,55628,114,7
2.0219129223284704,55627,115,7
2.025616044206869,55626,116,7
2.025622366654906,55625,117,7
2.0259150014043854,55624,118,7
2.0274556675516657,55623,119,7
2.028397345495581,55622,120,7
2.029115572844152,55621,121,7
2.029216411027229,55620,122,7
2.0294840619059564,55619,123,7
2.0310736773440223,55618,124,7
2.031398362329348,55617,125,7
2.0315270384375363,55616,126,7
2.0336798889773355,55615,127,7
2.034839553875494,55614,128,7
2.0355636480681287,55613,129,7
2.037090514004813,55612,130,7
2.0371960534018965,55611,131,7
2.03795812638806,55610,132,7
2.0379897155582762,55610,131,8
2.03915222815059,55609,132,8
2.040750471058042,55608,133,8
2.0412681447852052,55607,134,8
2.0424444407614515,55606,135,8
2.043741591713408,55605,136,8
2.043907621381532,55604,137,8
2.0445236220379197,55603,138,8
2.0447098823668335,55602,139,8
2.0458119349881425,55601,140,8
2.045991452994464,55600,141,8
2.0462170971839395,55599,142,8
2.047112836484411,55598,143,8
2.047754013393864,55597,144,8
2.04828615363028,55596,145,8
2.0489316705463074,55595,146,8
2.0494624070592553,55594,147,8
2.0497561283285917,55593,148,8
2.0500349042833648,55592,149,8
2.0501961580667243,55591,150,8
2.050819410934472,55590,151,8
2.0513279960289026,55589,152,8
2.051551976840414,55588,153,8
2.0523767475147205,55587,154,8
2.052888610271339,55586,155,8
2.0532385159939337,55585,156,8
2.054929907110122,55584,157,8
2.056726975953726,55583,158,8
2.0571407806585356,55582,159,8
2.057192528618901,55581,160,8
2.0576317884067414,55580,161,8
2.0601340894574123,55579,162,8
2.060181530265613,55579,161,9
2.0603822699617904,55578,162,9
2.0616181271117986,55577,163,9
2.0623229078646843,55576,164,9
2.062845278765822,55575,165,9
2.063394548383361,55574,166,9
2.0642560706881117,55573,167,9
2.0643818810158336,55572,168,9
2.0647344916900683,55571,169,9
2.0655659255239276,55571,168,10
2.066152217887248,55570,169,10
2.06676944345019,55569,170,10
2.067605463511392,55568,171,10
2.0676792030051936,55567,172,10
2.0682373632789175,55566,173,10
2.0683031302382613,55565,174,10
2.068402321573015,55564,175,10
2.068529975345866,55563,176,10
2.0716201992021133,55562,177,10
2.072285184767338,55561,178,10
2.0727601795634736,55560,179,10
2.0734456932324568,55559,180,10
2.073837812230072,55558,181,10
2.074285548990756,55557,182,10
2.07494813963618,55556,183,10
2.0750542907388403,55555,184,10
2.076245076154268,55554,185,10
2.076321690860638,55553,186,10
2.07732014239941,55552,187,10
2.077364347772185,55551,188,10
2.0775494702408275,55550,189,10
2.0780031915725803,55549,190,10
2.0781299030378135,55548,191,10
2.0803850881041415,55547,192,10
2.0814972276669637,55546,193,10
2.0829648674870285,55545,194,10
2.083015436700368,55544,195,10
2.0831687054601313,55543,196,10
2.08327537221275,55542,197,10
2.0837099504904244,55541,198,10
2.083790070739563,55540,199,10
2.085159923779192,55539,200,10
2.085203478473755,55538,201,10
2.0854865818362183,55537,202,10
2.0874422541786446,55536,203,10
2.0875604131329637,55535,204,10
2.0875616481839137,55534,205,10
2.0876736676745433,55533,206,10
2.087995865801702,55532,207,10
2.0881128610341335,55531,208,10
2.0884410570039074,55530,209,10
2.0884891248922908,55529,210,10
2.089402068359405,55528,211,10
2.0900146757641562,55527,212,10
2.0904121889436973,55526,213,10
2.0931247262960517,55525,214,10
2.093401502419926,55524,215,10
2.0941471898738246,55523,216,10
2.0964953594471143,55522,217,10
2.097219573325582,55522,216,11
2.0982178865597056,55521,217,11
2.0985269464785463,55520,218,11
2.0990696491424847,55519,219,11
2.09939175113285,55518,220,11
2.099595962512022,55517,221,11
2.0996198735895817,55516,222,11
2.0996402211258847,55515,223,11
2.0996673342969303,55514,224,11
2.0997229748855033,55513,225,11
2.099879776054433,55512,226,11
2.1008956026631793,55511,227,11
2.10124944062691,55510,228,11
2.1015026895863045,55509,229,11
2.1022281820751996,55508,230,11
2.102432800670713,55507,231,11
2.103722639825118,55506,232,11
2.103803075684156,55505,233,11
2.1041491677873347,55504,234,11
2.1044181010137173,55503,235,11
2.104776207189392,55502,236,11
2.1076615622038535,55501,237,11
2.1092038016406387,55500,238,11
2.109445286183507,55499,239,11
2.110763493371409,55498,240,11
2.1114726845330405,55497,241,11
2.1122816133030797,55496,242,11
2.112766042701657,55495,243,11
2.113577707787296,55494,244,11
2.1140301090488096,55493,245,11
2.114742705648033,55492,246,11
2.1152205481158695,55491,247,11
2.1157092204332435,55490,248,11
2.1165980884259614,55490,247,12
2.1170110593880445,55489,248,12
2.118227101370058,55488,249,12
2.118433538121949,55487,250,12
2.1185291922465064,55486,251,12
2.1194273831065287,55485,252,12
2.1212419334274006,55484,253,12
2.1213331515695444,55483,254,12
2.1217645846003776,55482,255,12
2.1221617493595195,55481,256,12
2.1227097226066056,55480,257,12
2.123030658669513,55479,258,12
2.124330690041843,55478,259,12
2.124959234329166,55477,260,12
2.1249616097545556,55476,261,12
2.1249956563257038,55475,262,12
2.1255178836772597,55474,263,12
2.125570524010361,55473,264,12
2.12567643594583,55472,265,12
2.1261912162773706,55471,266,12
2.1268383553151216,55470,267,12
2.126863591643232,55469,268,12
2.127200120483268,55468,269,12
2.1273095995470386,55467,270,12
2.127805895995929,55466,271,12
2.1279906235389743,55465,272,12
2.128249625701818,55464,273,12
2.128336587446805,55463,274,12
2.1288229264319045,55462,275,12
2.1293313396906988,55461,276,12
2.129766442532818,55461,275,13
2.130880044017517,55460,276,13
2.1309086429039756,55459,277,13
2.1311338355953917,55458,278,13
2.1315185831747687,55457,279,13
2.1315676905888647,55456,280,13
2.1316155284900695,55455,281,13
2.1324317133500075,55454,282,13
2.1326547672383223,55453,283,13
2.132963896903231,55452,284,13
2.1332468298522915,55451,285,13
2.1354286766149007,55450,286,13
2.13563579742851,55449,287,13
2.1357161330246957,55448,288,13
2.135763896922489,55447,289,13
2.1358744759930457,55446,290,13
2.1361237366433548,55445,291,13
2.1362021477762356,55444,292,13
2.1366971671869615,55443,293,13
2.136998646434407,55442,294,13
2.137984790180732,55441,295,13
